id	label	query
0_1_1	1	SELECT course_id, title FROM course
0_1_2	1	SELECT course_id FROM course
0_1_3	1	SELECT DISTINCT course_id, title FROM course
0_2_1	2	SELECT course_id, title FROM course WHERE dept_name = ''
0_2_2	2	SELECT DISTINCT course.course_id, course.title FROM course WHERE course.dept_name = ''
0_2_3	2	SELECT * FROM course WHERE dept_name = ''
0_2_4	2	SELECT course_id, title FROM department, course WHERE department.dept_name = course.dept_name AND department.dept_name = ''
0_3_1	3	SELECT course.course_id, course.title, takes.id FROM course, section, takes WHERE course.course_id = section.course_id AND section.year = 2010 AND section.semester = '' AND course.course_id = takes.course_id AND takes.semester = ''
0_3_2	3	SELECT course.course_id, course.title, instructor.id FROM course, instructor, takes WHERE course.dept_name = instructor.dept_name AND takes.course_id = course.course_id AND takes.semester = '' AND takes.year = ''
0_3_3	3	SELECT DISTINCT course.course_id, course.title, teaches.id FROM course, teaches WHERE course.course_id = teaches.course_id AND teaches.semester = '' AND teaches.year = ''
0_3_4	3	SELECT course.course_id, course.title, teaches.id FROM course, teaches WHERE course.course_id = teaches.course_id AND teaches.year = 2010 AND teaches.semester = ''
0_3_5	3	SELECT course.course_id, title, instructor.id FROM course, instructor, teaches WHERE teaches.id = instructor.id AND course.course_id = teaches.course_id AND teaches.semester = '' AND teaches.year = 2010
0_3_6	3	SELECT course.course_id, course.title, teaches.id FROM course, teaches WHERE course.course_id = teaches.course_id AND semester = '' AND year = ''
0_3_7	3	SELECT course.course_id, course.title, teaches.id FROM course, teaches WHERE course.course_id = teaches.course_id AND semester = '' AND year = 2010
0_3_8	3	SELECT course_id, course.title, id AS instructor_id FROM course NATURAL JOIN teaches WHERE semester = '' AND year = 2010
0_3_9	3	SELECT course.course_id, course.title, teaches.id FROM teaches, course WHERE teaches.year = '' AND teaches.semester = '' AND teaches.course_id = course.course_id
0_3_10	3	SELECT section.course_id, course.title, teaches.id FROM section, course, teaches WHERE section.course_id = teaches.course_id AND section.sec_id = teaches.sec_id AND section.semester = teaches.semester AND section.year = teaches.year AND section.course_id = course.course_id AND section.semester = '' AND section.year = 2010
0_3_11	3	SELECT DISTINCT course.course_id, course.title, teaches.id FROM course, teaches WHERE course.course_id = teaches.course_id AND teaches.semester = '' AND teaches.year = 2010
0_3_12	3	SELECT DISTINCT course.course_id, title, id FROM course, teaches WHERE course.course_id = teaches.course_id AND year = 2010 AND semester = ''
0_3_13	3	SELECT course.course_id, course.title, teaches.id FROM course, teaches WHERE teaches.course_id = course.course_id AND teaches.semester = '' AND teaches.year = ''
0_3_14	3	SELECT course.course_id, title, id FROM course, teaches WHERE semester = '' AND year = '' AND course.course_id = teaches.course_id
0_3_15	3	SELECT section.course_id, course.title, teaches.id FROM section, course, teaches WHERE section.semester = '' AND section.year = 2010 AND teaches.course_id = section.course_id AND course.course_id = section.course_id
0_3_16	3	SELECT course.course_id, course.title, teaches.id FROM teaches, course WHERE teaches.semester = '' AND teaches.year = 2010 AND teaches.course_id = course.course_id
0_3_17	3	SELECT section.course_id, teaches.id, course.title FROM section, course, teaches WHERE section.year = 2010 AND section.semester = '' AND section.course_id = course.course_id AND section.course_id = teaches.course_id
0_3_18	3	SELECT course_id, title, id FROM course NATURAL JOIN teaches NATURAL JOIN section WHERE semester = '' AND year = ''
0_3_19	3	SELECT course.course_id, course.title, teaches.id FROM course, section, teaches WHERE course.course_id = section.course_id AND section.sec_id = teaches.sec_id AND teaches.course_id = section.course_id AND section.semester = teaches.semester AND section.year = teaches.year AND course.course_id = teaches.course_id AND section.semester = '' AND section.year = 2010
0_3_20	3	SELECT DISTINCT course.course_id, title, id FROM course, teaches, section WHERE section.year = 2010 AND section.course_id = course.course_id AND teaches.course_id = course.course_id AND teaches.semester = ''
0_3_21	3	SELECT teaches.course_id, title, id AS instructor_id FROM teaches, course WHERE semester = '' AND year = 2010 AND teaches.course_id = course.course_id
0_3_22	3	SELECT section.course_id, course.course_id, teaches.id FROM section, course, teaches WHERE section.semester = '' AND section.year = '' AND course.course_id = section.course_id AND teaches.course_id = section.course_id AND teaches.sec_id = section.sec_id AND teaches.semester = '' AND teaches.year = ''
0_3_23	3	SELECT course.course_id, title, id FROM course JOIN teaches ON course.course_id = teaches.course_id AND teaches.semester = '' AND teaches.year = ''
