Year	StudentID	Score	Note	Answer	Normalization	fixing error
2014	28251029	12	WHERE --> HAVING	"Select count(distinct species) From Sightings, Birds Where Sightings.bid = Birds.bid AND oid = (Select oid From Sightings Where count(bid) >= MAX(Select count(bid) From Sightings Group by oid) group by oid)"	"SELECT Count(distinct species) FROM Sightings, Birds WHERE Sightings.bid = Birds.bid AND oid = (SELECT oid FROM Sightings WHERE Count(bid) >= MAX(SELECT Count(bid) FROM Sightings GROUP BY oid) GROUP BY oid)"	"SELECT Count(distinct species) FROM Sightings, Birds WHERE Sightings.bid = Birds.bid AND Sightings.oid = (SELECT oid FROM Sightings GROUP BY oid HAVING Count(bid) >= (SELECT MAX(Count(bid)) FROM Sightings GROUP BY oid))"
2014	35159767	15	empty	"Select distinct species From Observers, Birds, Sightings Where Observers.oid = Sightings.oid AND Sightings.bid = Birds.bid AND oid = SELECT oid From (Select oid, count(*) as ct From Sightings Where when = Date(""12/15/13"") group by oid) where ct = (Select max(ct) from (Select oid, count(*) as ct From Sightings Where when = Date(""12/15/13"") group by oid))"	"SELECT DISTINCT species FROM Observers, Birds, Sightings WHERE Observers.oid = Sightings.oid AND Sightings.bid = Birds.bid AND oid = SELECT oid FROM (SELECT oid, Count(*) AS ct FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid) WHERE ct = (SELECT MAX(ct) FROM (SELECT oid, Count(*) AS ct FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid))"	"SELECT DISTINCT species FROM Observers, Birds, Sightings WHERE Observers.oid = Sightings.oid AND Sightings.bid = Birds.bid AND oid = (SELECT oid FROM (SELECT oid, Count(*) AS ct FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid) WHERE ct = (SELECT MAX(ct) FROM (SELECT oid, Count(*) AS ct FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid)))"
2014	35214123	9	empty	"Select count(distinct B.species) from Birds B, Sightings S Where B.bid = S.bid AND S.oid IN (Select oid, count(s2.bid) from Sightings s2 group by oid order by count limit 1)"	"SELECT Count(DISTINCT B.species) FROM Birds B, Sightings S WHERE B.bid = S.bid AND S.oid IN (SELECT oid, Count(S2.bid) FROM Sightings S2 GROUP BY oid ORDER BY count LIMIT 1)"	empty
2014	35280970	6	invalid syntax	"Select count(distinct s.bid) from Sightings s where s.oid = (select oid from (select oid, count(oid) as numOfSight from (select s1.oid from Sightings s1 where date = 'December 15, 2013') group by oid) where max(numOfSight))"	"SELECT Count(DISTINCT s.bid) from Sightings s where s.oid = (SELECT oid FROM (SELECT oid, Count(oid) AS numOfSight FROM (SELECT s1.oid FROM Sightings s1 WHERE date = date('2013-12-15')) GROUP BY oid) WHERE MAX(numOfSight))"	empty
2014	35603746	12	empty	"Select distinct count(bid) from Sightings, (Select oid, count(bid) as cbid from Sightings where date = 12/15/13 order by cbid limit 1) as Obs Where Sightings.oid = obs.oid"	"SELECT DISTINCT Count(bid) FROM Sightings, (SELECT oid, Count(bid) AS cbid FROM Sightings WHERE date = date('2013-12-15') ORDER BY cbid LIMIT 1) AS Obs WHERE Sightings.oid = Obs.oid"	empty
2014	35828204	15	empty	"Select count(distinct s.bid) as BIRDS From Sightings s Where s.oid = (Select o.oid From Observers o Where BIRDS > All(Select count(*) From Observers o2, Sightings s2 where s2.oid = o2.oid AND s2.when = '12-15-2013'))"	"SELECT Count(DISTINCT s.bid) AS Birds FROM Sightings s WHERE s.oid = (SELECT o.oid FROM Observers o WHERE BIRDS > ALL(SELECT Count(*) FROM Observers o2, Sightings s2 WHERE s2.oid = o2.oid AND s2.when = date('2013-12-15')))"	empty
2014	36021891	3	incomplete	"Select Count(Distinct bid) From Sightings, (Select oid, COUNT(bid) From Sightings Where when = 01/15/13 group by bid) where"	empty	empty
2014	36180603	3	empty	Select Max(counts) from (Select count(Distinct b.species) as counts From Birds b natural join sightings s where when = '12/15/13' group by oid)	SELECT MAX(counts) FROM (SELECT Count(DISTINCT b.species) AS counts FROM Birds b NATURAL JOIN Sightings s WHERE when = date('2013-12-15') GROUP BY oid)	empty
2014	36182659	3	empty	"SELECT DISTINCT COUNT(bid) FROM Sightings WHERE oid = (SELECT oid FROM Sightings GROUP BY oid HAVING COUNT(*) = (SELECT MAX(oid) FROM Sightings WHERE when = ""12/15/2013"" GROUP BY oid))"	SELECT DISTINCT COUNT(bid) FROM Sightings WHERE oid = (SELECT oid FROM Sightings GROUP BY oid HAVING Count(*) = (SELECT MAX(oid) FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid))	empty
2014	36207245	7	empty	empty	"SELECT O.name FROM Observers O WHERE O.oid IN (SELECT S.oid FROM Sightings S GROUP BY S.oid HAVING Count(DISTINCT S.bid) = (SELECT MAX(SP.SC) FROM (SELECT S2.oid, Count(DISTINCT S2.bid) AS SC FROM Sightings S2 WHERE S2.when = date('2013-12-15') GROUP BY S2.oid) AS SP))"	empty
