id	label	query
28251029	1	"SELECT Count(distinct species) FROM Sightings, Birds WHERE Sightings.bid = Birds.bid AND Sightings.oid = (SELECT oid FROM Sightings GROUP BY oid HAVING Count(bid) >= (SELECT MAX(Count(bid)) FROM Sightings GROUP BY oid))"
35159767	1	"SELECT DISTINCT species FROM Observers, Birds, Sightings WHERE Observers.oid = Sightings.oid AND Sightings.bid = Birds.bid AND oid = (SELECT oid FROM (SELECT oid, Count(*) AS ct FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid) WHERE ct = (SELECT MAX(ct) FROM (SELECT oid, Count(*) AS ct FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid)))"
35603746	1	"SELECT DISTINCT Count(bid) FROM Sightings, (SELECT oid, Count(bid) AS cbid FROM Sightings WHERE date = date('2013-12-15') ORDER BY cbid LIMIT 1) AS Obs WHERE Sightings.oid = Obs.oid"
35828204	1	"SELECT Count(DISTINCT s.bid) AS Birds FROM Sightings s WHERE s.oid = (SELECT o.oid FROM Observers o WHERE BIRDS > ALL(SELECT Count(*) FROM Observers o2, Sightings s2 WHERE s2.oid = o2.oid AND s2.when = date('2013-12-15')))"
36208573	1	"SELECT DISTINCT Count(species) FROM Sightings S, Birds B WHERE B.bid = S.bid AND S.oid IN (SELECT oid, COUNT(*) as saw FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid ORDER BY saw DESC LIMIT 1)"
36294540	1	"SELECT Count(DISTINCT b.species) FROM Sightings S, Birds B Where S.bid = B.bid AND oid IN (SELECT oid FROM (SELECT oid, Count(*) as numsaw FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid) t WHERE t.numsaw = MAX(t.numsaw))"
36508572	1	"SELECT DISTINCT B.species FROM Bird B, (SELECT S.oid, Count(*) as C FROM Sightings S WHERE S.when = date('2013-12-15') GROUP BY S.oid) A, Sightings S WHERE A.oid = S.oid AND A.C = MAX(A.C) AND S.bid = B.bid"
36724918	1	SELECT DISTINCT species FROM Birds b WHERE Birds.bid IN (SELECT s1.bid FROM Sightings s1 WHERE s1.oid = (SELECT s2.oid FROM Sightings s2 WHERE s2.date = date('2013-12-15') GROUP BY s2.oid HAVING Count(*) = MAX(Count(*))))
37610929	1	"SELECT Count(DISTINCT b.species) FROM Birds b, Sightings S1 WHERE S1.bid = b.bid AND s1.oid IN (SELECT S2.oid, MAX(count(*)) FROM Sightings S2 GROUP BY S2.oid)"
50024515	1	"SELECT Count(B.species) FROM (SELECT species FROM Birds B, Sightings S, (SELECT oid FROM Sightings GROUP BY oid HAVING Count(*) = (SELECT MAX(cnt) FROM (SELECT Count(*) AS cnt FROM Sightings GROUP BY oid))) t WHERE B.bid = S.bid AND S.oid = t.oid)"
50061019	1	"SELECT DISTINCT Count(*) FROM (SELECT species FROM Birds B, (SELECT S.bid FROM Sightings S WHERE S.oid IN (SELECT S1.oid FROM (SELECT S.oid FROM Sightings S WHERE S.when = date('2013-12-15')) S1 GROUP BY S1.oid ORDER BY Count(*) DESC LIMIT 1)))"
50095251	1	"SELECT DISTINCT B.species FROM Birds B WHERE B.bid IN (SELECT P.oid, MAX(Counting), P.bid FROM (SELECT oid, Ccount(*) AS Counting FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid) P)"
50096299	1	"SELECT Count(*) FROM (SELECT DISTINCT species FROM birds WHERE bid IN (SELECT bid FROM Sightings WHERE oid IN (SELECT oid, MAX(Count(bid)) FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid)))"
50096311	1	"SELECT DISTINCT species FROM Birds WHERE bid IN (SELECT bid FROM Sightings WHERE oid IN (SELECT oid, COUNT(*) AS num FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid ORDER BY num DESC LIMIT 1))"
50096428	1	SELECT SUM(DISTINCT species) FROM (SELECT * FROM Birds b1 WHERE b1.bid IN (SELECT s1.bid FROM Sightings s1 WHERE s1.oid = (SELECT s2.oid FROM Sightings s2 WHERE s2.when = date('2013-12-15') GROUP BY s2.oid HAVING COUNT(*) = (SELECT MAX(Count(*)) FROM Sightings s3 WHERE when = date('2013-12-15') GROUP BY s3.oid))))
50096542	1	"SELECT Count( DISTINCT species) FROM Birds WHERE bid IN (SELECT DISTINCT bid FROM Sightings WHERE oid IN (SELECT oid FROM Sightings GROUP BY oid HAVING Count(*) = (SELECT MAX(P) FROM (SELECT oid, Count(*) AS P FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid) AS Q)))"
50096621	1	"SELECT DISTINCT species FROM Birds WHERE bid IN (SELECT bid FROM Sightings WHERE oid = (SELECT oid FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid HAVING Count(*) = (SELECT MAX(Count(*)) AS AB FROM (SELECT MAX(Count(*)), oid FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid))))"
50096690	1	SELECT Count(DISTINCT species) FROM Birds WHERE bid IN (SELECT S1.bid FROM Sightings S1 WHERE S1.oid = (SELECT S2.oid FROM Sightings S2 WHERE when = date('2013-12-15') GROUP BY S2.oid HAVING Count(bid) = (SELECT MAX(cnt) FROM (SELECT Count(bid) AS cnt FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid))))
50096799	1	"SELECT Count(*) FROM Sightings S2 GROUP BY S2.oid HAVING Count(*) = (SELECT MAX(Temp.count) FROM (SELECT Count(*) as count, oid FROM Sightings S WHERE when = date('2013-12-15') GROUP BY S.oid) AS Temp)"
50096800	1	SELECT Count(DISTINCT bid) FROM Sightings WHERE oid = (SELECT oid FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid HAVING Count(*) = (SELECT Count(*) AS C FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid ORDER BY C LIMIT 1))
50096811	1	"SELECT Count(*) FROM (SELECT DISTINCT bid FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid HAVING Count(*) = (SELECT MAX(birdcount) FROM (SELECT oid, count(*) AS birdcount FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid)))"
50096814	1	"SELECT COUNT(DISTINCT x.species) FROM (SELECT oid, species FROM observers, birds, sightings WHERE o.oid = (SELECT o.oid, count(bid) FROM observers o, birds b, sightings s WHERE s.when = DATE('12-15-2013') GROUP BY o.oid ORDER BY z DESC LIMIT 1)) as x"
50097062	1	"SELECT A.COUNTDIST FROM (SELECT oid, Count(DISTINCT bid) AS COUNTDIST FROM Sightings GROUP BY oid) A, (SELECT oid, Count(*) AS COUNT1 FROM Sightings WHERE when = date('2013-12-15') GROUP BY oid ORDER BY Count(*) DESC LIMIT 1) B WHERE A.oid = B.oid"
50097064	1	SELECT Count(*) FROM (SELECT DISTINCT bid FROM Sightings WHERE oid IN (SELECT oid FROM Sightings WHERE col_when = date('2013-12-15') GROUP BY oid ORDER BY Count(*) LIMIT 1))
50097356	1	"SELECT Count(*) FROM (SELECT DISTINCT bid FROM Sightings WHERE oid IN (SELECT s2.oid FROM Sightings s2 WHERE s2.date = date('2013-12-15') GROUP BY s2.oid HAVING Count(*) = (SELECT MAX(BN) FROM (SELECT oid, Count(*) FROM Sightings s1 WHERE s1.date = date('2013-12-15') GROUP BY oid) BN)))"
50097468	1	"SELECT DISTINCT B.species FROM Birds B, Observers O, Sightings S WHERE B.bid = S.bid AND O.oid = S.oid AND O.oid = (SELECT S.oid, Count(*) AS cnt FROM Sightings WHERE date = date('2013-12-15') GROUP BY S.oid ORDER BY cnt DESC LIMIT 1)"
